"Año,Tasa_Act,Tasa_Pas,IPC,TPM"
"2005M05,17.43,10.72,157.2,7"
"2005M06,16.75,10.81,158.3,7"
"2005M07,16.91,10.4,159.7,7"
"2005M08,16.47,10.71,161,7"
"2005M09,17.25,10.42,161.6,7"
"2005M10,16.98,10.43,161.7,7"
"2005M11,16.72,10.39,162,7"
"2005M12,16.77,10.41,162.7,7"
"2006M01,17.6,10.22,163.3,7"
"2006M02,17.28,10.29,164.44,7"
"2006M03,16.1,9.9,164.8,6.75"
"2006M04,15.6,8.76,165.7,6.5"
"2006M05,15.22,8.45,166.8,6.5"
"2006M06,15.68,7.89,167.3,6.5"
"2006M07,14.88,7.73,168.2,6.5"
"2006M08,15.1,7.47,168.8,6.5"
"2006M09,14.82,7.41,168.8,6"
"2006M10,14.2,7.67,169,6"
"2006M11,13.18,7.39,169.9,6"
"2006M12,13.77,7.59,171.3,6"
"2007M01,12.95,7.42,172.4,6"
"2007M02,13.68,7.6,173.98,6"
"2007M03,13.47,7.37,175.2,6"
"2007M04,12.03,7.07,176.2,6"
"2007M05,12.78,7.19,176.9,6"
"2007M06,12.49,7.2,177.6,6"
"2007M07,12.12,7.43,178.8,6"
"2007M08,12.99,7.73,180.1,6.25"
"2007M09,12.78,7.95,180.8,6.25"
"2007M10,13.01,7.75,183,6.75"
"2007M11,13.14,7.87,186.2,7"
"2007M12,13.06,8.14,186.5,7.5"
"2008M01,13.37,8.18,187.7,7.5"
"2008M02,13.69,8.48,189.7,7.75"
"2008M03,14.33,8.57,191.4,7.75"
"2008M04,14.39,8.59,193.3,7.75"
"2008M05,14.73,9.04,196.8,8"
"2008M06,14.89,9.3,199.2,8.5"
"2008M07,15.22,9.62,203.4,9"
"2008M08,15.87,10.55,205.3,9"
"2008M09,16.42,10.83,205.6,9"
"2008M10,17.13,11.94,206.9,9"
"2008M11,17.95,12.65,206.5,9"
"2008M12,18.53,13.06,206.7,7.75"
"2009M01,18.43,12.77,206.6,6.75"
"2009M02,18.33,11.66,208.2,6.75"
"2009M03,18.06,10.83,208.2,5.75"
"2009M04,17.21,9.58,208.9,4.5"
"2009M05,17.46,8.81,208.9,4.5"
"2009M06,16.3,8.86,210,3.5"
"2009M07,15.92,9.35,211.5,4"
"2009M08,16.72,9.79,211.7,4.5"
"2009M09,16.82,10.41,211.9,4.5"
"2009M10,16.96,10.62,212.4,4.5"
"2009M11,17.32,10.75,212.9,4.5"
"2009M12,17.1,10.59,212.8,4.5"
"2010M01,17.49,10.85,214,4.5"
"2010M02,17.5,10.63,215.5,4.5"
"2010M03,16.47,10.26,216.5,4.5"
"2010M04,17.08,9.92,217.6,4.5"
"2010M05,16.4,9.46,218,4.5"
"2010M06,16.72,9.1,218.9,4.5"
"2010M07,17.31,8.71,220.3,4.5"
"2010M08,17.24,8.18,221.3,4.5"
"2010M09,15.94,8.07,222.6,4.5"
"2010M10,16.57,7.97,224.7,4.5"
"2010M11,16.17,7.91,226.6,4.5"
"2010M12,15.14,8.04,226.6,4.5"
"2011M01,14.95,8.22,227.6,4.5"
"2011M02,15.17,8.14,229.2,4.5"
"2011M03,14.51,7.99,230.8,4.5"
"2011M04,14.97,7.67,233.4,4.5"
"2011M05,15.1,7.52,234.8,4.5"
"2011M06,14.59,7.3,235.8,4.5"
"2011M07,15.01,7.05,237.4,4.5"
"2011M08,14.48,7.16,238.3,4.5"
"2011M09,14.66,7.32,237.8,5"
"2011M10,14.47,7.79,238,5"
"2011M11,13.86,7.28,238.9,5.5"
"2011M12,14.16,7.43,239.3,5.5"
"2012M01,14.33,7.51,239.8,6"
"2012M02,14.67,7.86,242.1,6"
"2012M03,14.1,7.53,243.9,6"
"2012M04,13.64,7.57,246.6,6"
"2012M05,14.72,7.66,246.9,7"
"2012M06,14.74,8.56,246.9,7"
"2012M07,15.18,9.25,247.1,7"
"2012M08,15.07,9.51,248.6,7"
"2012M09,15.67,10.13,250.4,7"
"2012M10,16.29,10.65,251.5,7"
"2012M11,16.75,11.55,251.9,7"
"2012M12,16.7,11.43,252.2,7"
